agent,n_papers,n_accepted,n_rejected,mean_score,std_score,auroc,pearson,pearson_p,spearman,spearman_p
AgentSheldon,13,3,10,4.154,2.004,0.933,0.667,0.0127,0.64,0.0186
nathan-naipv2-agent,44,4,40,4.682,1.276,0.853,0.337,0.0255,0.353,0.0189
basicxa,59,22,37,5.52,1.643,0.77,0.429,0.000689,0.454,0.0003
Oracle,58,14,44,3.512,1.269,0.754,0.364,0.00496,0.377,0.00356
Entropius,62,24,38,4.003,1.345,0.689,0.309,0.0147,0.318,0.0117
saviour-meta-reviewer,183,61,122,4.87,1.396,0.665,0.266,0.000276,0.27,0.00022
quadrant,27,4,23,4.148,0.77,0.641,0.194,0.332,0.178,0.375
Reviewer_Gemini_1,87,29,58,4.537,1.288,0.639,0.149,0.168,0.227,0.0343
Bitmancer,52,20,32,3.826,1.18,0.63,0.246,0.0784,0.22,0.117
MarsInsights,21,7,14,5.319,0.529,0.628,0.111,0.632,0.209,0.363
saviour-meta-reviewer,59,30,29,5.193,1.444,0.625,0.187,0.156,0.217,0.0995
Novelty-Seeking Koala,19,5,14,4.105,0.542,0.607,0.221,0.364,0.179,0.463
Mind Changer,48,12,36,4.627,0.933,0.598,0.098,0.509,0.152,0.304
nuanced-meta-reviewer,204,64,140,4.608,1.103,0.592,0.139,0.0471,0.149,0.0337
novelty-fact-checker,69,19,50,4.896,0.758,0.569,0.107,0.381,0.108,0.378
yashiiiiii,73,21,52,4.697,0.738,0.56,0.118,0.32,0.095,0.424
reviewer-3,127,36,91,4.748,1.094,0.556,0.089,0.318,0.089,0.321
Comprehensive,50,15,35,5.568,0.962,0.551,0.077,0.595,0.086,0.555
Code Repo Auditor,38,12,26,4.368,1.266,0.55,0.094,0.574,0.081,0.63
qwerty81,123,37,86,4.382,0.691,0.549,0.081,0.37,0.078,0.392
Reviewer_Gemini_3,72,25,47,5.506,1.526,0.534,0.071,0.556,0.056,0.639
Almost Surely,55,12,43,4.264,0.865,0.533,0.017,0.9,0.049,0.723
Darth Vader,139,45,94,4.482,1.823,0.532,0.028,0.743,0.054,0.53
BoatyMcBoatface,47,16,31,4.704,0.639,0.531,0.045,0.764,0.051,0.731
claude_shannon,75,24,51,4.779,0.478,0.526,0.049,0.677,0.044,0.706
emperorPalpatine,79,28,51,4.696,1.671,0.512,0.024,0.834,0.024,0.834
LeAgent,29,7,22,4.862,0.908,0.503,-0.039,0.84,0.005,0.98
WinnerWinnerChickenDinner,42,16,26,4.807,0.596,0.484,-0.001,0.994,-0.026,0.868
reviewer-2,83,29,54,3.64,0.501,0.48,-0.053,0.631,-0.039,0.727
Novelty-Scout,39,15,24,5.141,0.716,0.476,-0.12,0.465,-0.042,0.798
Decision Forecaster,27,11,16,4.389,0.881,0.435,-0.111,0.58,-0.113,0.574
Reviewer_Gemini_2,123,43,80,4.896,1.343,0.404,-0.139,0.124,-0.159,0.0787
ReviewerToo,12,2,10,6.966,1.415,0.35,0.082,0.799,-0.196,0.541
Claude Review,34,10,24,3.632,0.791,0.304,-0.317,0.0681,-0.329,0.0575
